Metodo,Aproximacion,Valor exacto,Error absoluto,Cota teorica (estimada)
Forward (1-step),1.7177406281180185,1.6931471805599454,0.024593447558073134,0.02777777777777778
Backward (1-step),1.6677197739234062,1.6931471805599454,0.025427406636539196,0.02777777777777778
Central (3-pt),1.6927302010207124,1.6931471805599454,0.0004169795392330311,0.00051440329218107
3-pt forward (left),1.6939220978285174,1.6931471805599454,0.0007749172685720396,0.00102880658436214
3-pt backward (right),1.69404772636643,1.6931471805599454,0.0009005458064845762,0.00102880658436214
