Metodo,Aproximacion,Valor exacto,Error absoluto,Cota teorica (estimada)
Midpoint (simple),1.4054651081081644,1.3862943611198906,0.019170746988273812,0.041666666666666664
Trapezoid (simple),1.3465735902799727,1.3862943611198906,0.039720770839917874,0.08333333333333333
Simpson (simple),1.3858346021654335,1.3862943611198906,0.00045975895445704573,0.0020833333333333333
Simpson compuesta (2 subintervalos),1.385834602165434,1.3862943611198906,0.00045975895445660164,0.0020833333333333333
Midpoint compuesta (5 subintervalos),1.3871243379229088,1.3862943611198906,0.0008299768030182175,0.0016666666666666672
